orphanet	do
Orphanet:101084	DOID:0110150
Orphanet:99757	DOID:3246
Orphanet:2855	DOID:0050857
Orphanet:251056	DOID:0060424
Orphanet:254361	DOID:0110285
Orphanet:99014	DOID:0110210
Orphanet:1223	DOID:0050654
Orphanet:408	DOID:0060363
Orphanet:531	DOID:0060469
Orphanet:98971	DOID:0060452
Orphanet:319698	DOID:13909
Orphanet:98722	DOID:0050651
Orphanet:3022	DOID:0060330
Orphanet:98791	DOID:0110029
Orphanet:2182	DOID:10908
Orphanet:2466	DOID:0060246
Orphanet:2750	DOID:0060316
Orphanet:216796	DOID:0110334
Orphanet:216796	DOID:0110335
Orphanet:79452	DOID:0050580
Orphanet:513	DOID:9952
Orphanet:144	DOID:3883
Orphanet:1878	DOID:0110282
Orphanet:139498	DOID:2352
Orphanet:47	DOID:14179
Orphanet:825	DOID:7147
Orphanet:228174	DOID:0110177
Orphanet:373	DOID:0060248
Orphanet:225123	DOID:2352
Orphanet:168572	DOID:0060346
Orphanet:730	DOID:898
Orphanet:55	DOID:0050632
Orphanet:280663	DOID:3753
Orphanet:93616	DOID:0110031
Orphanet:178307	DOID:0060258
Orphanet:58220	DOID:0060182
Orphanet:99956	DOID:0110190
Orphanet:314679	DOID:0060238
Orphanet:435998	DOID:0110203
Orphanet:1860	DOID:13481
Orphanet:294937	DOID:0050581
Orphanet:2136	DOID:0060366
Orphanet:3261	DOID:6688
Orphanet:79303	DOID:0050674
Orphanet:401945	DOID:13099
Orphanet:217340	DOID:0060434
Orphanet:353	DOID:0110277
Orphanet:178355	DOID:0060247
Orphanet:69186	DOID:14717
Orphanet:99819	DOID:7998
Orphanet:124	DOID:1339
Orphanet:217330	DOID:0060062
Orphanet:2108	DOID:4534
Orphanet:216804	DOID:0110336
Orphanet:216804	DOID:0110349
Orphanet:216804	DOID:0110337
Orphanet:216804	DOID:0110341
Orphanet:443950	DOID:0110160
Orphanet:101102	DOID:0110166
Orphanet:548	DOID:1024
Orphanet:2828	DOID:0060368
Orphanet:2828	DOID:0060369
Orphanet:2828	DOID:14330
Orphanet:2828	DOID:0060370
Orphanet:636	DOID:8712
Orphanet:1334	DOID:2058
Orphanet:595	DOID:14717
Orphanet:288	DOID:2373
Orphanet:2024	DOID:0060466
Orphanet:101076	DOID:0110208
Orphanet:2794	DOID:12185
Orphanet:91495	DOID:0060282
Orphanet:69127	DOID:0060025
Orphanet:100046	DOID:0110200
Orphanet:888	DOID:0060239
Orphanet:265	DOID:0110302
Orphanet:435387	DOID:0110168
Orphanet:99949	DOID:0110183
Orphanet:102009	DOID:0050453
Orphanet:231531	DOID:3753
Orphanet:2616	DOID:0060241
Orphanet:141007	DOID:0060382
Orphanet:101075	DOID:0110209
Orphanet:93275	DOID:13481
Orphanet:178338	DOID:0060240
Orphanet:30391	DOID:13608
Orphanet:99954	DOID:0110192
Orphanet:231537	DOID:3753
Orphanet:2771	DOID:0060231
Orphanet:98967	DOID:0060456
Orphanet:2311	DOID:0050568
Orphanet:264	DOID:0110301
Orphanet:1305	DOID:0060464
Orphanet:607	DOID:3191
Orphanet:221117	DOID:4969
Orphanet:3449	DOID:0050475
Orphanet:652	DOID:10017
Orphanet:1414	DOID:6691
Orphanet:1194	DOID:0060331
Orphanet:2510	DOID:0060237
Orphanet:1531	DOID:2340
Orphanet:199318	DOID:0060394
Orphanet:2323	DOID:0060348
Orphanet:141000	DOID:0060381
Orphanet:98974	DOID:11555
Orphanet:213517	DOID:2394
Orphanet:238557	DOID:0060474
Orphanet:99955	DOID:0110191
Orphanet:369	DOID:2754
Orphanet:507	DOID:9146
Orphanet:106	DOID:12849
Orphanet:100044	DOID:0110197
Orphanet:137	DOID:5212
Orphanet:163634	DOID:0060221
Orphanet:280110	DOID:5408
Orphanet:55654	DOID:4535
Orphanet:289365	DOID:9620
Orphanet:2728	DOID:0060289
Orphanet:98956	DOID:0060447
Orphanet:98892	DOID:0050454
Orphanet:402075	DOID:1712
Orphanet:261476	DOID:0060427
Orphanet:95494	DOID:9406
Orphanet:85276	DOID:0050764
Orphanet:1247	DOID:0050597
Orphanet:59135	DOID:11720
Orphanet:247709	DOID:10016
Orphanet:261222	DOID:0060398
Orphanet:98293	DOID:8567
Orphanet:98945	DOID:12270
Orphanet:284232	DOID:0110175
Orphanet:552	DOID:0050524
Orphanet:267	DOID:0110275
Orphanet:99936	DOID:0110159
Orphanet:2345	DOID:10426
Orphanet:2754	DOID:0060376
Orphanet:1906	DOID:0060471
Orphanet:2021	DOID:0060465
Orphanet:206549	DOID:0110284
Orphanet:201	DOID:6457
Orphanet:294963	DOID:0060055
Orphanet:891	DOID:0050535
Orphanet:392	DOID:0060468
Orphanet:279	DOID:4448
Orphanet:280333	DOID:0110293
Orphanet:2337	DOID:0050428
Orphanet:447	DOID:0060284
Orphanet:3318	DOID:2224
Orphanet:363623	DOID:0110294
Orphanet:2140	DOID:3827
Orphanet:217385	DOID:0060432
Orphanet:33226	DOID:0050747
Orphanet:99940	DOID:0110163
Orphanet:217656	DOID:0050431
Orphanet:352328	DOID:0110001
Orphanet:399096	DOID:11720
Orphanet:3156	DOID:0050576
Orphanet:822	DOID:12971
Orphanet:411493	DOID:0060279
Orphanet:95430	DOID:0060313
Orphanet:2203	DOID:9274
Orphanet:96078	DOID:0060431
Orphanet:98961	DOID:0060453
Orphanet:171851	DOID:0060483
Orphanet:88616	DOID:0060308
Orphanet:777	DOID:0050776
Orphanet:79213	DOID:12798
Orphanet:445038	DOID:0110003
Orphanet:35689	DOID:230
Orphanet:34515	DOID:0110299
Orphanet:422	DOID:14557
Orphanet:238755	DOID:0110303
Orphanet:217074	DOID:1793
Orphanet:370938	DOID:0060470
Orphanet:1147	DOID:0050646
Orphanet:1300	DOID:0060055
Orphanet:300319	DOID:0110169
Orphanet:2152	DOID:0060485
Orphanet:261494	DOID:0060352
Orphanet:99946	DOID:0110154
Orphanet:1775	DOID:2729
Orphanet:797	DOID:11335
Orphanet:157820	DOID:0060294
Orphanet:306674	DOID:0060556
Orphanet:97242	DOID:0050557
Orphanet:217034	DOID:14227
Orphanet:1621	DOID:0060418
Orphanet:215	DOID:0050534
Orphanet:1429	DOID:12859
Orphanet:774	DOID:1270
Orphanet:369920	DOID:0060278
Orphanet:34514	DOID:0110281
Orphanet:60030	DOID:0050466
Orphanet:555	DOID:10608
Orphanet:125	DOID:2717
Orphanet:486	DOID:0050590
Orphanet:619	DOID:5426
Orphanet:36387	DOID:0060170
Orphanet:52429	DOID:0060232
Orphanet:561	DOID:0050858
Orphanet:506	DOID:3652
Orphanet:1479	DOID:0110112
Orphanet:86788	DOID:0050590
Orphanet:1522	DOID:0080033
Orphanet:261272	DOID:0060433
Orphanet:216	DOID:14503
Orphanet:512	DOID:10581
Orphanet:276399	DOID:0050489
Orphanet:886	DOID:0050439
Orphanet:2573	DOID:13099
Orphanet:157962	DOID:0060482
Orphanet:97238	DOID:0060255
Orphanet:166063	DOID:0060273
Orphanet:1872	DOID:0050572
Orphanet:65682	DOID:1852
Orphanet:90635	DOID:0110547
Orphanet:90635	DOID:0110575
Orphanet:90635	DOID:0110576
Orphanet:90635	DOID:0110581
Orphanet:90635	DOID:0110578
Orphanet:90635	DOID:0110543
Orphanet:90635	DOID:0110542
Orphanet:90635	DOID:0110590
Orphanet:90635	DOID:0110568
Orphanet:90635	DOID:0110560
Orphanet:90635	DOID:0050564
Orphanet:90635	DOID:0110586
Orphanet:90635	DOID:0110550
Orphanet:90635	DOID:0110546
Orphanet:90635	DOID:0110564
Orphanet:90635	DOID:0110593
Orphanet:90635	DOID:0110552
Orphanet:90635	DOID:0110571
Orphanet:90635	DOID:0110556
Orphanet:90635	DOID:0110544
Orphanet:90635	DOID:0110558
Orphanet:90635	DOID:0110580
Orphanet:90635	DOID:0110545
Orphanet:90635	DOID:0110559
Orphanet:90635	DOID:0110583
Orphanet:90635	DOID:0110577
Orphanet:90635	DOID:0110566
Orphanet:90635	DOID:0110549
Orphanet:90635	DOID:0110561
Orphanet:90635	DOID:0110591
Orphanet:90635	DOID:0110565
Orphanet:90635	DOID:0110551
Orphanet:90635	DOID:0110587
Orphanet:90635	DOID:0110582
Orphanet:90635	DOID:0110592
Orphanet:90635	DOID:0110567
Orphanet:90635	DOID:0110579
Orphanet:90635	DOID:0110584
Orphanet:90635	DOID:0110572
