orphanumber	doid
Orphanet:1915	DOID:0050665
Orphanet:902	DOID:5688
Orphanet:978	DOID:0050601
Orphanet:83461	DOID:11367
Orphanet:699	DOID:0060067
Orphanet:261476	DOID:0060427
Orphanet:791	DOID:10584
Orphanet:303	DOID:4959
Orphanet:2909	DOID:2732
Orphanet:903	DOID:12531
Orphanet:70482	DOID:1107
Orphanet:1229	DOID:0050656
Orphanet:3287	DOID:2508
Orphanet:112	DOID:445
Orphanet:886	DOID:0050439
Orphanet:904	DOID:1928
Orphanet:3452	DOID:8476
Orphanet:3103	DOID:5325
Orphanet:2167	DOID:0060566
Orphanet:858	DOID:13336
Orphanet:189439	DOID:0060280
Orphanet:98375	DOID:718
Orphanet:388	DOID:10487
Orphanet:412	DOID:3145
Orphanet:558	DOID:14323
Orphanet:1332	DOID:3973
Orphanet:3449	DOID:0050475
Orphanet:99886	DOID:0060334
Orphanet:2248	DOID:9955
Orphanet:90	DOID:9278
Orphanet:126	DOID:14778
Orphanet:231	DOID:14418
Orphanet:100	DOID:12704
Orphanet:2573	DOID:13099
Orphanet:1225	DOID:0050654
Orphanet:662	DOID:0050468
Orphanet:75496	DOID:0050802
Orphanet:3303	DOID:6419
Orphanet:783	DOID:1933
Orphanet:93357	DOID:5684
Orphanet:244	DOID:9562
Orphanet:893	DOID:14515
Orphanet:512	DOID:10581
Orphanet:90340	DOID:0050678
Orphanet:83317	DOID:13371
Orphanet:90354	DOID:14775
Orphanet:2337	DOID:0050428
Orphanet:15	DOID:4480
Orphanet:251019	DOID:0060428
Orphanet:365	DOID:2752
Orphanet:508	DOID:0050470
Orphanet:3193	DOID:1929
Orphanet:99976	DOID:4914
Orphanet:2514	DOID:14725
Orphanet:930	DOID:9164
Orphanet:367	DOID:2750
Orphanet:1164	DOID:13166
Orphanet:35	DOID:14701
Orphanet:586	DOID:1485
Orphanet:828	DOID:0080046
Orphanet:63446	DOID:0050604
Orphanet:2710	DOID:0060291
Orphanet:1427	DOID:0080026
Orphanet:932	DOID:0080043
Orphanet:857	DOID:0050887
Orphanet:349	DOID:14500
Orphanet:296	DOID:4624
Orphanet:218	DOID:2734
Orphanet:793	DOID:13677
Orphanet:90309	DOID:14720
Orphanet:192	DOID:3783
Orphanet:189	DOID:14693
Orphanet:906	DOID:9169
Orphanet:178478	DOID:0050354
Orphanet:366	DOID:2748
Orphanet:2467	DOID:349
Orphanet:355	DOID:1926
Orphanet:64739	DOID:5425
Orphanet:633	DOID:9521
Orphanet:553	DOID:12252
Orphanet:261265	DOID:0060404
Orphanet:740	DOID:3911
Orphanet:77	DOID:12271
Orphanet:805	DOID:13515
Orphanet:94065	DOID:0060395
Orphanet:2781	DOID:13533
Orphanet:250999	DOID:0060412
Orphanet:2790	DOID:0080037
Orphanet:99978	DOID:4927
Orphanet:97330	DOID:3103
Orphanet:85276	DOID:0050764
Orphanet:595	DOID:14717
Orphanet:2065	DOID:0060364
Orphanet:750	DOID:0080047
Orphanet:65	DOID:14791
Orphanet:1414	DOID:6691
Orphanet:487	DOID:10587
Orphanet:436	DOID:14213
Orphanet:66661	DOID:355
Orphanet:23	DOID:14755
Orphanet:59305	DOID:3590
Orphanet:716	DOID:9281
