orphanet	do
Orphanet:1465	DOID:1925
Orphanet:99952	DOID:0110193
Orphanet:168966	DOID:5820
Orphanet:100026	DOID:0060127
Orphanet:175	DOID:14773
Orphanet:1106	DOID:0060861
Orphanet:99942	DOID:0110158
Orphanet:52503	DOID:0050800
Orphanet:364574	DOID:0060379
Orphanet:403	DOID:14080
Orphanet:770	DOID:11260
Orphanet:423296	DOID:0050985
Orphanet:284	DOID:12148
Orphanet:189439	DOID:0060280
Orphanet:157	DOID:0060235
Orphanet:98300	DOID:2797
Orphanet:306773	DOID:0060695
Orphanet:320391	DOID:0110798
Orphanet:213620	DOID:5165
Orphanet:251	DOID:12721
Orphanet:51608	DOID:0050644
Orphanet:2331	DOID:13378
Orphanet:26791	DOID:0060358
Orphanet:3273	DOID:5485
Orphanet:45358	DOID:0080143
Orphanet:280558	DOID:0060535
Orphanet:238510	DOID:0060704
Orphanet:221046	DOID:0060551
Orphanet:324999	DOID:0050553
Orphanet:102015	DOID:0110274
Orphanet:79443	DOID:0080053
Orphanet:109	DOID:0050657
Orphanet:370938	DOID:0060470
Orphanet:289560	DOID:0110738
Orphanet:91495	DOID:0060282
Orphanet:300319	DOID:0110169
Orphanet:53035	DOID:0050876
Orphanet:31154	DOID:1390
Orphanet:76	DOID:10955
Orphanet:51636	DOID:0060591
Orphanet:1293	DOID:0050690
Orphanet:2704	DOID:0050816
Orphanet:1727	DOID:0060436
Orphanet:79172	DOID:0050798
Orphanet:137783	DOID:0060653
Orphanet:3451	DOID:0050562
Orphanet:2828	DOID:0060894
Orphanet:137914	DOID:9574
Orphanet:214	DOID:9266
Orphanet:94083	DOID:14744
Orphanet:79486	DOID:3081
Orphanet:264	DOID:0110301
Orphanet:2337	DOID:0050428
Orphanet:183669	DOID:2583
Orphanet:36355	DOID:0060692
Orphanet:401920	DOID:5015
Orphanet:83600	DOID:5225
Orphanet:606	DOID:0050759
Orphanet:2467	DOID:349
Orphanet:701	DOID:0050634
Orphanet:1666	DOID:9565
Orphanet:1478	DOID:1882
Orphanet:1231	DOID:0060549
Orphanet:2583	DOID:13078
Orphanet:487	DOID:10587
Orphanet:3426	DOID:6406
Orphanet:2905	DOID:14039
Orphanet:187	DOID:9273
Orphanet:48104	DOID:8553
Orphanet:1155	DOID:0110631
Orphanet:93270	DOID:0110087
Orphanet:98762	DOID:0050962
Orphanet:2552	DOID:4271
Orphanet:199247	DOID:0090030
Orphanet:251679	DOID:7305
Orphanet:33577	DOID:1525
Orphanet:99908	DOID:13891
Orphanet:447753	DOID:0110824
Orphanet:716	DOID:9281
Orphanet:101085	DOID:0110149
Orphanet:2752	DOID:0060373
Orphanet:97285	DOID:10011
Orphanet:251899	DOID:5648
Orphanet:611	DOID:3429
Orphanet:85283	DOID:0060815
Orphanet:252018	DOID:3640
Orphanet:35173	DOID:0060292
Orphanet:329802	DOID:0060460
Orphanet:101082	DOID:0110152
Orphanet:2593	DOID:0080089
Orphanet:263	DOID:11724
Orphanet:206970	DOID:450
Orphanet:329242	DOID:0060778
Orphanet:213823	DOID:4867
Orphanet:37553	DOID:0050434
Orphanet:514	DOID:8864
Orphanet:90309	DOID:14720
Orphanet:64746	DOID:0050539
Orphanet:127	DOID:0050681
Orphanet:251279	DOID:0060837
Orphanet:233	DOID:12557
Orphanet:75376	DOID:0060745
Orphanet:99826	DOID:4327
Orphanet:352479	DOID:0110295
Orphanet:100991	DOID:0110763
Orphanet:83593	DOID:10843
Orphanet:90291	DOID:418
Orphanet:35705	DOID:0050721
Orphanet:254334	DOID:0110204
Orphanet:2995	DOID:0060229
Orphanet:1369	DOID:0080132
Orphanet:58017	DOID:285
Orphanet:3242	DOID:0060179
Orphanet:101001	DOID:0060245
Orphanet:98763	DOID:0050964
Orphanet:1520	DOID:14737
Orphanet:79455	DOID:3666
Orphanet:1786	DOID:0060384
Orphanet:171612	DOID:0110788
Orphanet:306658	DOID:0080170
Orphanet:52368	DOID:0050757
Orphanet:99829	DOID:9682
Orphanet:905	DOID:893
Orphanet:99936	DOID:0110159
Orphanet:206564	DOID:0110292
Orphanet:331206	DOID:0090013
Orphanet:1561	DOID:0050713
Orphanet:36899	DOID:0090034
Orphanet:561	DOID:0050858
Orphanet:88632	DOID:0060605
Orphanet:2807	DOID:2626
Orphanet:279904	DOID:775
Orphanet:1955	DOID:0050981
Orphanet:319254	DOID:11320
Orphanet:324964	DOID:0060645
Orphanet:322	DOID:0080173
Orphanet:886	DOID:0050439
Orphanet:231692	DOID:0060875
Orphanet:2971	DOID:0050797
Orphanet:293202	DOID:6193
Orphanet:3459	DOID:0060814
Orphanet:60041	DOID:990
Orphanet:2332	DOID:14780
Orphanet:247834	DOID:0050578
Orphanet:682	DOID:14451
Orphanet:33475	DOID:0080176
Orphanet:93297	DOID:0080044
Orphanet:635	DOID:769
Orphanet:99797	DOID:13714
Orphanet:352670	DOID:0110206
Orphanet:102	DOID:4752
Orphanet:2152	DOID:0060485
Orphanet:352675	DOID:0110207
Orphanet:93282	DOID:0050812
Orphanet:1486	DOID:0060559
Orphanet:280	DOID:0050460
Orphanet:42	DOID:0080153
Orphanet:1172	DOID:0050950
Orphanet:781	DOID:11100
Orphanet:213767	DOID:3744
Orphanet:64720	DOID:1967
Orphanet:35689	DOID:230
Orphanet:827	DOID:0050817
Orphanet:913	DOID:0050782
Orphanet:75496	DOID:0050802
Orphanet:429	DOID:0080041
Orphanet:2902	DOID:9502
Orphanet:53689	DOID:0060296
Orphanet:86850	DOID:8683
Orphanet:3286	DOID:0060674
Orphanet:530	DOID:14498
Orphanet:329284	DOID:0110739
Orphanet:251909	DOID:1664
Orphanet:99995	DOID:1811
Orphanet:231679	DOID:0060872
Orphanet:101011	DOID:0110782
Orphanet:252046	DOID:5900
Orphanet:1560	DOID:10079
Orphanet:340	DOID:11266
Orphanet:1331	DOID:10283
Orphanet:261	DOID:11726
Orphanet:101003	DOID:0110774
Orphanet:764	DOID:876
Orphanet:2913	DOID:1148
Orphanet:3378	DOID:11665
Orphanet:97282	DOID:5574
Orphanet:265	DOID:0110302
Orphanet:280569	DOID:4776
Orphanet:6	DOID:0050710
Orphanet:1186	DOID:0050556
Orphanet:251615	DOID:4845
Orphanet:284289	DOID:0050999
Orphanet:70587	DOID:12716
Orphanet:213711	DOID:4226
Orphanet:185	DOID:4297
Orphanet:1297	DOID:0050691
Orphanet:52901	DOID:0090088
Orphanet:2363	DOID:0050331
Orphanet:91547	DOID:13034
Orphanet:231160	DOID:0060228
Orphanet:29	DOID:0050452
Orphanet:662	DOID:0050468
Orphanet:2896	DOID:0060488
Orphanet:36	DOID:9250
Orphanet:56970	DOID:649
Orphanet:67037	DOID:5520
Orphanet:1675	DOID:14218
Orphanet:97360	DOID:0060254
Orphanet:53540	DOID:0090059
Orphanet:307967	DOID:0060361
Orphanet:3071	DOID:0050469
Orphanet:364	DOID:2749
Orphanet:107	DOID:14702
Orphanet:99939	DOID:0110165
Orphanet:2854	DOID:0090067
