orphanumber	doid
Orphanet:75374	DOID:0050335
Orphanet:1878	DOID:0110282
Orphanet:110	DOID:1935
Orphanet:1522	DOID:0080033
Orphanet:157846	DOID:0110737
Orphanet:3463	DOID:0110630
Orphanet:3463	DOID:0110629
Orphanet:1416	DOID:1156
Orphanet:774	DOID:1270
Orphanet:231183	DOID:0110829
Orphanet:231183	DOID:0110842
Orphanet:231183	DOID:0110828
Orphanet:261	DOID:11726
Orphanet:243	DOID:14450
Orphanet:261120	DOID:0060392
Orphanet:1425	DOID:0060462
Orphanet:238750	DOID:0060420
Orphanet:581	DOID:12801
Orphanet:71493	DOID:2224
Orphanet:2021	DOID:0060465
Orphanet:35612	DOID:10629
Orphanet:1860	DOID:13481
Orphanet:67047	DOID:0110004
Orphanet:261272	DOID:0060433
Orphanet:98293	DOID:8567
Orphanet:99886	DOID:0060334
Orphanet:67046	DOID:0110002
Orphanet:93402	DOID:11193
Orphanet:418	DOID:0050811
Orphanet:79302	DOID:0050674
Orphanet:511	DOID:9269
Orphanet:154	DOID:0110459
Orphanet:154	DOID:0110433
Orphanet:154	DOID:0110452
Orphanet:154	DOID:0110427
Orphanet:154	DOID:0110436
Orphanet:154	DOID:0110438
Orphanet:154	DOID:0110444
Orphanet:154	DOID:0110428
Orphanet:154	DOID:0110457
Orphanet:154	DOID:0110450
Orphanet:154	DOID:0110458
Orphanet:154	DOID:0110455
Orphanet:154	DOID:0110430
Orphanet:154	DOID:0110431
Orphanet:154	DOID:0110460
Orphanet:154	DOID:0110435
Orphanet:154	DOID:0110453
Orphanet:154	DOID:0110449
Orphanet:154	DOID:0110451
Orphanet:154	DOID:0110441
Orphanet:154	DOID:0110454
Orphanet:154	DOID:0110439
Orphanet:154	DOID:0110423
Orphanet:154	DOID:0110437
Orphanet:154	DOID:0110448
Orphanet:154	DOID:0110461
Orphanet:154	DOID:0110426
Orphanet:154	DOID:0110432
Orphanet:154	DOID:0110442
Orphanet:154	DOID:0110456
Orphanet:154	DOID:0110446
Orphanet:154	DOID:0110447
Orphanet:154	DOID:0110424
Orphanet:154	DOID:0110443
Orphanet:154	DOID:0110434
Orphanet:154	DOID:0110445
Orphanet:154	DOID:0110429
Orphanet:888	DOID:0060239
Orphanet:2108	DOID:4534
Orphanet:1293	DOID:0050690
Orphanet:1031	DOID:0110066
Orphanet:1784	DOID:0060226
Orphanet:531	DOID:0060469
Orphanet:1305	DOID:0060464
Orphanet:2940	DOID:0060263
Orphanet:93406	DOID:11193
Orphanet:125	DOID:2717
Orphanet:67048	DOID:0110006
Orphanet:895	DOID:9258
Orphanet:93404	DOID:11193
Orphanet:157	DOID:0060235
Orphanet:306	DOID:0060169
Orphanet:296	DOID:4624
Orphanet:1872	DOID:0050572
Orphanet:99798	DOID:0050591
Orphanet:189439	DOID:0060280
Orphanet:2050	DOID:0060438
Orphanet:251056	DOID:0060424
Orphanet:1600	DOID:0060407
Orphanet:65759	DOID:0060234
Orphanet:2185	DOID:10908
Orphanet:66631	DOID:0060337
Orphanet:186	DOID:12236
Orphanet:244	DOID:0110601
Orphanet:244	DOID:0110604
Orphanet:244	DOID:0110602
Orphanet:244	DOID:0110628
Orphanet:244	DOID:0110627
Orphanet:244	DOID:0110594
Orphanet:244	DOID:0110626
Orphanet:244	DOID:0110608
Orphanet:244	DOID:0110607
Orphanet:244	DOID:0110623
Orphanet:244	DOID:0110606
Orphanet:244	DOID:0110625
Orphanet:244	DOID:0110609
Orphanet:244	DOID:0110619
Orphanet:244	DOID:0110599
Orphanet:244	DOID:0110617
Orphanet:244	DOID:0110613
Orphanet:244	DOID:0110598
Orphanet:244	DOID:0110616
Orphanet:244	DOID:0110618
Orphanet:244	DOID:0110621
Orphanet:244	DOID:0110605
Orphanet:244	DOID:0110624
Orphanet:244	DOID:0110596
Orphanet:244	DOID:0110614
Orphanet:244	DOID:0110622
Orphanet:244	DOID:0110603
Orphanet:244	DOID:0110600
Orphanet:244	DOID:0110597
Orphanet:244	DOID:0110615
Orphanet:244	DOID:0110612
Orphanet:244	DOID:0110611
Orphanet:1606	DOID:0060410
Orphanet:191	DOID:2962
Orphanet:138	DOID:0050834
Orphanet:1572	DOID:12177
Orphanet:261211	DOID:0060400
Orphanet:250994	DOID:0060435
Orphanet:1452	DOID:13994
Orphanet:635	DOID:769
Orphanet:791	DOID:0110408
Orphanet:791	DOID:0110414
Orphanet:791	DOID:0110420
Orphanet:791	DOID:0110373
Orphanet:791	DOID:0110421
Orphanet:791	DOID:0110397
Orphanet:791	DOID:0110409
Orphanet:791	DOID:0110353
Orphanet:791	DOID:0110356
Orphanet:791	DOID:0110399
Orphanet:791	DOID:0110392
Orphanet:791	DOID:0110412
