orphanumber	doid
Orphanet:85193	DOID:12559
Orphanet:840	DOID:5445
Orphanet:2309	DOID:0050449
Orphanet:801	DOID:419
Orphanet:474	DOID:0050592
Orphanet:304	DOID:4644
Orphanet:442	DOID:0050328
Orphanet:1214	DOID:1757
Orphanet:3386	DOID:12140
Orphanet:85295	DOID:0060810
Orphanet:201	DOID:6457
Orphanet:77	DOID:12271
Orphanet:794	DOID:14768
Orphanet:502	DOID:4998
Orphanet:791	DOID:10584
Orphanet:55	DOID:0050632
Orphanet:1297	DOID:0050691
Orphanet:1226	DOID:0050655
Orphanet:137	DOID:5212
Orphanet:35	DOID:14701
Orphanet:510	DOID:1919
Orphanet:85163	DOID:0060793
Orphanet:1451	DOID:0090029
Orphanet:990	DOID:0060341
Orphanet:99886	DOID:0060334
Orphanet:83317	DOID:13371
Orphanet:99027	DOID:0060785
Orphanet:95613	DOID:1129
Orphanet:1369	DOID:0080132
Orphanet:2483	DOID:1761
Orphanet:91378	DOID:14735
Orphanet:405	DOID:0060699
Orphanet:847	DOID:0110030
Orphanet:2698	DOID:0050658
Orphanet:99928	DOID:3596
Orphanet:3144	DOID:0050775
Orphanet:29	DOID:0050452
Orphanet:932	DOID:0080043
Orphanet:217385	DOID:0060432
Orphanet:7	DOID:0060565
Orphanet:777	DOID:0050776
Orphanet:436	DOID:14213
Orphanet:30	DOID:0050833
Orphanet:1764	DOID:11589
Orphanet:178475	DOID:0050353
Orphanet:900	DOID:12132
Orphanet:91347	DOID:6275
Orphanet:481	DOID:0060161
Orphanet:95429	DOID:4028
Orphanet:138	DOID:0050834
Orphanet:27	DOID:0060740
Orphanet:549	DOID:10458
Orphanet:754	DOID:4674
Orphanet:681	DOID:14452
Orphanet:342	DOID:2987
Orphanet:85324	DOID:0060813
Orphanet:99015	DOID:0110773
Orphanet:2965	DOID:5394
Orphanet:220402	DOID:1577
Orphanet:29207	DOID:6196
Orphanet:48818	DOID:0050711
Orphanet:99885	DOID:0060639
Orphanet:2314	DOID:3261
Orphanet:35612	DOID:10629
Orphanet:352	DOID:9870
Orphanet:33	DOID:14753
Orphanet:1872	DOID:0050572
Orphanet:29073	DOID:9538
Orphanet:1334	DOID:2058
Orphanet:90354	DOID:14775
Orphanet:1652	DOID:0050699
Orphanet:85279	DOID:0060809
Orphanet:740	DOID:3911
Orphanet:199276	DOID:3315
Orphanet:215	DOID:0050534
Orphanet:141	DOID:3613
Orphanet:46487	DOID:4313
Orphanet:205	DOID:3803
Orphanet:381	DOID:0060831
Orphanet:580	DOID:12799
Orphanet:85274	DOID:0060808
Orphanet:366	DOID:2748
Orphanet:1267	DOID:11976
Orphanet:385	DOID:0110734
Orphanet:1164	DOID:13166
Orphanet:886	DOID:0050439
Orphanet:1332	DOID:3973
Orphanet:511	DOID:9269
Orphanet:3250	DOID:0050788
Orphanet:1621	DOID:0060418
Orphanet:2930	DOID:6225
Orphanet:1871	DOID:0050795
Orphanet:126	DOID:14778
Orphanet:41	DOID:0060257
Orphanet:704	DOID:0060851
Orphanet:800	DOID:0090005
Orphanet:2268	DOID:0090007
Orphanet:739	DOID:11983
Orphanet:1427	DOID:0080026
Orphanet:183	DOID:3049
Orphanet:93357	DOID:5684
Orphanet:528	DOID:0050585
Orphanet:199343	DOID:0060484
Orphanet:2315	DOID:14694
Orphanet:2940	DOID:0060263
Orphanet:819	DOID:0060768
Orphanet:71211	DOID:8869
Orphanet:157	DOID:0060235
Orphanet:1229	DOID:0050656
Orphanet:38	DOID:0060362
Orphanet:163937	DOID:0060807
Orphanet:668	DOID:3347
Orphanet:576	DOID:0080070
Orphanet:178478	DOID:0050354
Orphanet:79408	DOID:0060642
Orphanet:1517	DOID:0060569
Orphanet:2331	DOID:13378
Orphanet:1896	DOID:0060782
Orphanet:284804	DOID:0050633
Orphanet:32960	DOID:0090018
Orphanet:950	DOID:14669
Orphanet:379	DOID:3265
Orphanet:50	DOID:8461
Orphanet:56	DOID:9270
Orphanet:93296	DOID:0080056
Orphanet:1425	DOID:0060462
Orphanet:99976	DOID:4914
Orphanet:23	DOID:14755
Orphanet:2614	DOID:9467
Orphanet:72	DOID:1932
Orphanet:99867	DOID:3275
Orphanet:440	DOID:10892
Orphanet:108	DOID:9643
Orphanet:83461	DOID:11367
Orphanet:357154	DOID:5773
Orphanet:47	DOID:14179
Orphanet:98428	DOID:2834
Orphanet:355	DOID:1926
Orphanet:79404	DOID:0060737
Orphanet:881	DOID:3491
Orphanet:39041	DOID:0060010
Orphanet:65759	DOID:0060234
Orphanet:242	DOID:14448
Orphanet:2510	DOID:0060237
Orphanet:60	DOID:13372
Orphanet:2884	DOID:3263
Orphanet:95	DOID:12705
Orphanet:2901	DOID:3689
Orphanet:131	DOID:11512
Orphanet:2116	DOID:1060
Orphanet:738	DOID:13268
Orphanet:324	DOID:14499
Orphanet:1031	DOID:0110066
Orphanet:2388	DOID:0050766
Orphanet:652	DOID:10017
Orphanet:1949	DOID:14777
Orphanet:2970	DOID:0060889
Orphanet:79403	DOID:0060733
Orphanet:3002	DOID:8924
Orphanet:90	DOID:9278
Orphanet:147	DOID:9280
Orphanet:829	DOID:14256
Orphanet:90695	DOID:9410
Orphanet:199318	DOID:0060394
Orphanet:139436	DOID:11824
Orphanet:52	DOID:9245
Orphanet:1305	DOID:0060464
Orphanet:191	DOID:2962
Orphanet:2021	DOID:0060465
Orphanet:223	DOID:12387
Orphanet:63	DOID:10983
Orphanet:66661	DOID:355
Orphanet:300385	DOID:4916
Orphanet:464	DOID:12305
Orphanet:232	DOID:10923
Orphanet:418	DOID:0050811
Orphanet:930	DOID:9164
Orphanet:892	DOID:14175
Orphanet:581	DOID:12801
Orphanet:87503	DOID:0060862
Orphanet:565	DOID:1838
Orphanet:731	DOID:0110861
Orphanet:97229	DOID:0050694
Orphanet:910	DOID:0050427
Orphanet:238468	DOID:14793
Orphanet:524	DOID:3012
Orphanet:99826	DOID:4327
Orphanet:480	DOID:12934
Orphanet:1653	DOID:701
Orphanet:579	DOID:12802
Orphanet:1515	DOID:0050577
Orphanet:790	DOID:768
Orphanet:3463	DOID:10632
Orphanet:79478	DOID:0060834
Orphanet:3286	DOID:0060674
Orphanet:929	DOID:0050796
Orphanet:887	DOID:14679
Orphanet:244	DOID:9562
Orphanet:2908	DOID:0060472
Orphanet:482	DOID:7365
Orphanet:148	DOID:857
Orphanet:99969	DOID:5702
Orphanet:110	DOID:1935
Orphanet:46627	DOID:0060563
Orphanet:2108	DOID:4534
Orphanet:1587	DOID:0060391
Orphanet:3287	DOID:2508
Orphanet:1422	DOID:0060644
Orphanet:432	DOID:0090070
Orphanet:91546	DOID:11729
Orphanet:3198	DOID:13366
Orphanet:99014	DOID:0110210
Orphanet:104	DOID:705
Orphanet:1941	DOID:0060172
Orphanet:655	DOID:12712
Orphanet:251038	DOID:0060459
Orphanet:92	DOID:676
Orphanet:101330	DOID:3132
Orphanet:828	DOID:0080046
Orphanet:1225	DOID:0050654
Orphanet:136	DOID:13945
Orphanet:868	DOID:0050884
Orphanet:293843	DOID:0060225
Orphanet:1452	DOID:13994
Orphanet:15	DOID:4480
Orphanet:643	DOID:0090068
Orphanet:67047	DOID:0110004
Orphanet:893	DOID:14515
Orphanet:101078	DOID:0110212
Orphanet:52055	DOID:0060816
Orphanet:545	DOID:0050873
Orphanet:2167	DOID:0060566
Orphanet:97279	DOID:3892
Orphanet:435	DOID:3156
Orphanet:250994	DOID:0060435
Orphanet:3389	DOID:399
Orphanet:85283	DOID:0060815
Orphanet:1328	DOID:4997
Orphanet:231169	DOID:0110826
Orphanet:902	DOID:5688
Orphanet:100100	DOID:3277
Orphanet:79276	DOID:3890
Orphanet:231178	DOID:0110827
Orphanet:2248	DOID:9955
Orphanet:93	DOID:0050461
Orphanet:487	DOID:10587
Orphanet:811	DOID:0060479
Orphanet:971	DOID:0060347
Orphanet:33276	DOID:8632
Orphanet:2591	DOID:0080109
Orphanet:178333	DOID:0050630
Orphanet:67046	DOID:0110002
Orphanet:207	DOID:2339
Orphanet:96	DOID:0090028
Orphanet:69077	DOID:3672
Orphanet:167	DOID:2935
Orphanet:96125	DOID:0060422
Orphanet:144	DOID:3883
Orphanet:573	DOID:0050472
Orphanet:79358	DOID:3805
Orphanet:367	DOID:2750
Orphanet:534	DOID:1056
Orphanet:93474	DOID:0060222
Orphanet:583	DOID:12800
Orphanet:98848	DOID:4660
Orphanet:73256	DOID:14174
Orphanet:1598	DOID:0060406
Orphanet:912	DOID:905
Orphanet:963	DOID:2449
Orphanet:89936	DOID:0050445
Orphanet:485	DOID:0080045
Orphanet:1827	DOID:0060342
Orphanet:968	DOID:0080051
Orphanet:168829	DOID:1791
Orphanet:808	DOID:0050569
Orphanet:1606	DOID:0060410
Orphanet:273	DOID:11722
Orphanet:506	DOID:3652
Orphanet:349	DOID:14500
Orphanet:869	DOID:0050602
Orphanet:1522	DOID:0080033
Orphanet:186	DOID:12236
Orphanet:26790	DOID:3559
Orphanet:96169	DOID:0050880
Orphanet:1788	DOID:0060383
Orphanet:858	DOID:13336
Orphanet:35687	DOID:4329
Orphanet:89840	DOID:0060738
Orphanet:261112	DOID:0060732
Orphanet:809	DOID:3492
Orphanet:1077	DOID:12661
Orphanet:238750	DOID:0060420
Orphanet:93256	DOID:0050879
Orphanet:2024	DOID:0060466
Orphanet:500	DOID:14291
Orphanet:750	DOID:0080047
Orphanet:101075	DOID:0110209
Orphanet:1412	DOID:0050789
Orphanet:908	DOID:14261
Orphanet:683	DOID:678
Orphanet:85138	DOID:13774
Orphanet:3099	DOID:1586
Orphanet:564	DOID:0050778
Orphanet:1865	DOID:0090032
Orphanet:319218	DOID:4325
Orphanet:920	DOID:0060550
Orphanet:821	DOID:14748
Orphanet:280779	DOID:0110228
Orphanet:2639	DOID:0050790
Orphanet:2440	DOID:0090020
Orphanet:37	DOID:0050605
Orphanet:79401	DOID:0060736
Orphanet:846	DOID:1099
Orphanet:79430	DOID:3753
Orphanet:39044	DOID:6039
Orphanet:93929	DOID:0080175
Orphanet:2909	DOID:2732
Orphanet:93672	DOID:14203
Orphanet:90340	DOID:0050678
Orphanet:2196	DOID:0060881
Orphanet:703	DOID:8506
Orphanet:245	DOID:5768
Orphanet:2377	DOID:1930
Orphanet:1194	DOID:0060331
Orphanet:1168	DOID:0050754
Orphanet:98895	DOID:9883
Orphanet:60030	DOID:0050466
Orphanet:915	DOID:6683
Orphanet:95159	DOID:5230
Orphanet:99977	DOID:3748
Orphanet:3447	DOID:14731
Orphanet:3380	DOID:1085
Orphanet:261349	DOID:0060415
Orphanet:845	DOID:3320
Orphanet:101076	DOID:0110208
Orphanet:699	DOID:0060067
Orphanet:3303	DOID:6419
Orphanet:1713	DOID:0060853
Orphanet:577	DOID:0080071
Orphanet:3452	DOID:8476
Orphanet:820	DOID:13096
Orphanet:508	DOID:0050470
Orphanet:3253	DOID:0060773
Orphanet:189	DOID:14693
Orphanet:562	DOID:1858
Orphanet:183660	DOID:627
Orphanet:403	DOID:14080
Orphanet:158000	DOID:4424
Orphanet:231	DOID:14418
Orphanet:550	DOID:3687
Orphanet:2704	DOID:0050816
Orphanet:50945	DOID:0060387
Orphanet:1270	DOID:0050684
Orphanet:2686	DOID:5339
Orphanet:586	DOID:1485
Orphanet:85278	DOID:0060825
Orphanet:98293	DOID:8567
Orphanet:112	DOID:445
Orphanet:1935	DOID:308
Orphanet:228371	DOID:0050352
Orphanet:217377	DOID:0060461
Orphanet:190	DOID:7765
Orphanet:97330	DOID:3103
Orphanet:369	DOID:2754
Orphanet:85273	DOID:0060818
Orphanet:1340	DOID:0060233
Orphanet:261279	DOID:0060405
Orphanet:52417	DOID:0050909
Orphanet:99	DOID:1441
Orphanet:33577	DOID:1525
Orphanet:52503	DOID:0050800
Orphanet:2311	DOID:0050568
Orphanet:666	DOID:12347
Orphanet:589	DOID:437
Orphanet:2897	DOID:9212
Orphanet:63446	DOID:0050604
Orphanet:85276	DOID:0050764
Orphanet:475	DOID:0050777
Orphanet:507	DOID:9065
Orphanet:90042	DOID:0060652
Orphanet:1520	DOID:14737
Orphanet:157215	DOID:0050947
Orphanet:217340	DOID:0060434
Orphanet:685	DOID:2476
Orphanet:93930	DOID:0080174
Orphanet:59	DOID:0050631
Orphanet:79443	DOID:0080053
Orphanet:1513	DOID:0080032
Orphanet:774	DOID:1270
Orphanet:783	DOID:1933
Orphanet:2637	DOID:0060609
Orphanet:1947	DOID:0110724
Orphanet:375	DOID:9808
Orphanet:46724	DOID:0060688
Orphanet:365	DOID:2752
Orphanet:313	DOID:1699
Orphanet:93356	DOID:0080030
Orphanet:192	DOID:3783
Orphanet:59305	DOID:3590
Orphanet:371	DOID:11721
Orphanet:261476	DOID:0060427
Orphanet:2406	DOID:12697
Orphanet:904	DOID:1928
Orphanet:457	DOID:0060713
Orphanet:1467	DOID:0060216
Orphanet:317	DOID:0050467
Orphanet:1248	DOID:14683
Orphanet:662	DOID:0050468
Orphanet:660	DOID:0060327
Orphanet:281	DOID:12580
Orphanet:79477	DOID:0060833
