orphanet	do
Orphanet:90635	DOID:0110548
Orphanet:90635	DOID:0110543
Orphanet:90635	DOID:0110592
Orphanet:90635	DOID:0110575
Orphanet:90635	DOID:0110593
Orphanet:90635	DOID:0110546
Orphanet:90635	DOID:0110554
Orphanet:90635	DOID:0110560
Orphanet:511	DOID:9269
Orphanet:392	DOID:0060468
Orphanet:1587	DOID:0060391
Orphanet:888	DOID:0060239
Orphanet:101081	DOID:0110148
Orphanet:93404	DOID:11193
Orphanet:391351	DOID:0110187
Orphanet:314679	DOID:0060238
Orphanet:808	DOID:0050569
Orphanet:2750	DOID:0060316
Orphanet:1031	DOID:0110066
Orphanet:447	DOID:0060284
Orphanet:309796	DOID:0110852
Orphanet:169150	DOID:0060301
Orphanet:169150	DOID:0060303
Orphanet:169150	DOID:0060302
Orphanet:169150	DOID:0060299
Orphanet:3337	DOID:1062
Orphanet:157820	DOID:0060294
Orphanet:79243	DOID:3649
Orphanet:548	DOID:1024
Orphanet:2733	DOID:0060288
Orphanet:69665	DOID:1852
Orphanet:275517	DOID:0110116
Orphanet:35612	DOID:10629
Orphanet:199	DOID:11725
Orphanet:306511	DOID:0110800
Orphanet:69127	DOID:0060025
Orphanet:295012	DOID:11193
Orphanet:531	DOID:0060469
Orphanet:355	DOID:1926
Orphanet:637	DOID:8712
Orphanet:902	DOID:5688
Orphanet:35689	DOID:230
Orphanet:36387	DOID:0060170
Orphanet:1305	DOID:0060464
Orphanet:100990	DOID:0110824
Orphanet:1293	DOID:0050690
Orphanet:102009	DOID:0050453
Orphanet:1784	DOID:0060226
Orphanet:166068	DOID:0060274
Orphanet:150	DOID:9261
Orphanet:209951	DOID:0110771
Orphanet:60015	DOID:0060285
Orphanet:97242	DOID:0050557
Orphanet:178307	DOID:0060258
Orphanet:100991	DOID:0110763
Orphanet:369867	DOID:0110198
Orphanet:1223	DOID:0050654
Orphanet:3022	DOID:0060330
Orphanet:217622	DOID:0110440
Orphanet:2752	DOID:0060373
Orphanet:97685	DOID:0060403
Orphanet:2940	DOID:0060263
Orphanet:90324	DOID:2962
Orphanet:88661	DOID:2187
Orphanet:98722	DOID:0050651
Orphanet:2756	DOID:0060380
Orphanet:67046	DOID:0110002
Orphanet:309803	DOID:0110853
Orphanet:98984	DOID:0110248
Orphanet:65759	DOID:0060234
Orphanet:3636504	DOID:5557
Orphanet:894	DOID:9258
Orphanet:320365	DOID:0110787
Orphanet:125	DOID:2717
Orphanet:590	DOID:3635
Orphanet:397735	DOID:0110173
Orphanet:895	DOID:9258
Orphanet:1621	DOID:0060418
Orphanet:98955	DOID:0060450
Orphanet:217604	DOID:12930
Orphanet:399086	DOID:11720
Orphanet:101097	DOID:0110167
Orphanet:99954	DOID:0110192
Orphanet:2065	DOID:0060364
Orphanet:300319	DOID:0110169
Orphanet:166063	DOID:0060273
Orphanet:90625	DOID:0050566
Orphanet:266	DOID:0110300
Orphanet:363981	DOID:0110194
Orphanet:552	DOID:0050524
Orphanet:261349	DOID:0060415
Orphanet:163634	DOID:0060221
Orphanet:171851	DOID:0060483
Orphanet:101009	DOID:0110780
Orphanet:99943	DOID:0110157
Orphanet:261494	DOID:0060352
Orphanet:217656	DOID:0050431
Orphanet:228363	DOID:0110729
Orphanet:101005	DOID:0110776
Orphanet:178469	DOID:0060307
Orphanet:263	DOID:11724
Orphanet:209	DOID:3144
Orphanet:920	DOID:0060550
Orphanet:401810	DOID:0110815
Orphanet:306	DOID:0060169
Orphanet:96125	DOID:0060422
Orphanet:178338	DOID:0060240
Orphanet:225123	DOID:2352
Orphanet:1333	DOID:1793
Orphanet:1300	DOID:0060055
Orphanet:406	DOID:13810
Orphanet:296	DOID:4624
Orphanet:119	DOID:0110279
Orphanet:100986	DOID:0110810
Orphanet:93114	DOID:0110205
Orphanet:217385	DOID:0060432
Orphanet:3152	DOID:0060251
Orphanet:1872	DOID:0050572
Orphanet:98970	DOID:0060448
Orphanet:189439	DOID:0060280
Orphanet:323	DOID:14711
Orphanet:2162	DOID:4621
Orphanet:314629	DOID:0110732
Orphanet:306674	DOID:0060556
Orphanet:155	DOID:11984
Orphanet:88616	DOID:0060308
Orphanet:101016	DOID:0110650
Orphanet:101016	DOID:0110648
Orphanet:101016	DOID:0110646
Orphanet:101016	DOID:0110653
Orphanet:101016	DOID:0110647
Orphanet:101016	DOID:0110644
Orphanet:101016	DOID:0110645
Orphanet:101016	DOID:0110656
Orphanet:101016	DOID:0110651
Orphanet:101016	DOID:0110655
Orphanet:101016	DOID:0110652
Orphanet:101016	DOID:0110654
Orphanet:306539	DOID:0060472
Orphanet:450	DOID:0050545
Orphanet:213	DOID:1064
Orphanet:320391	DOID:0110798
Orphanet:101075	DOID:0110209
Orphanet:101101	DOID:0110179
Orphanet:598	DOID:0110633
Orphanet:216	DOID:14503
Orphanet:166073	DOID:0060275
Orphanet:435998	DOID:0110203
Orphanet:106	DOID:12849
Orphanet:231178	DOID:0110838
Orphanet:231178	DOID:0110840
Orphanet:231178	DOID:0110827
Orphanet:231178	DOID:0110839
Orphanet:401780	DOID:0110812
Orphanet:5448	DOID:11720
Orphanet:254361	DOID:0110285
Orphanet:99878	DOID:11202
Orphanet:369	DOID:2754
Orphanet:99946	DOID:0110154
