genes.name
IQGAP3
LONP2
C1D
AMOTL1
MAOA
KDM4A
GPT2
IFNA10
LYPD2
LOC101929991
LOC105376910
COL11A1
RANBP9
CKAP2L
KCNF1
FGF10
NMU
NDUFB2
TP73
CRACR2B
KRT24
LOC731996
PTPN2
POC1A
PRSS22
TMUB2
ALK
GBF1
LY6G6C
GABRD
SUPT16H
PKD1L2
CLECL1
OVGP1
ATG16L1
OVCA2
COLGALT2
WRB
VWC2
SERPINE3
ZBED2
RPL39L
ATRX
STK36
ZSWIM6
HARBI1
MAPK4
TMEM14C
IRAK2
TARDBP
KLHL31
SLC25A33
MCM9
SAFB
MRPS24
SCGB3A2
ZNF543
MTRF1
CERCAM
SRMS
OR6N1
CXCR2
LMOD2
KRTAP9-8
REM2
LOC105379886
MICB
GUF1
PSME3
GATSL3
LAIR1
PIAS1
NONO
ST7L
LOC100132146
SLC16A11
NR2C2
CBX8
MPP1
TSPYL6
UPF2
EMP3
VN1R5
SPANXN2
SQSTM1
C1orf21
NAA25
CHORDC1
GIPR
LOC105372267
PDK3
VPS13D
ZSCAN9
PCDHA7
FAM160B2
BTK
MED27
DCAF8
PRMT1
LOC100291323
PTGDR
ARL2BP
SLAMF6
SRSF2
TMEM135
GJC3
TAGAP
CNGA1
SUSD6
OR4F15
DDX5
LYPD8
PRPF6
ALG10B
YIPF1
PPP1R16A
TECTA
YIPF3
CYP11A1
LMLN
LOC105379645
B4GALT3
FAM188B2
FUS
OCLN
ANKRD11
SIX6
PPP2R3C
LENG9
LOC105375303
NLGN4Y
C2orf82
ZNF337
ZMAT2
GPR22
ABHD6
LOC100129520
PI4KB
TCEB3B
SGK494
ZNF550
PCBD2
RC3H1
RTN1
CERK
CAMKMT
EPPIN-WFDC6
CAPS
ABCA4
MAT2B
CNOT7
RAB5C
STUB1
SIX4
SOCS7
GSG1L
LOC102725021
CRH
SV2B
AMBRA1
LRCOL1
ESA4
ARHGEF35
ATP5L2
ARSG
TNNT3
PELI1
NECAP1
DGUOK
LOC105375810
B3GALT1
FAM157A
GFAP
C14orf1
OR3A2
THAP1
TAGLN2
VTN
HFE2
GBGT1
ARHGAP15
ARF4
ATP6V1B1
SYNGR2
C11orf31
CNTN6
GUCA1A
MPLKIP
MRPS17
MAPK8IP2
MLLT10
CAMKK1
ELFN2
ANHX
SDC4
ORMDL1
RFX8
UTP14C
IL2
GRK1
UBAC1
ASXL2
MFGE8
IL17RC
PET100
SPTAN1
SLC2A4RG
LOC102723655
LOC100128088
KRT15
COPS3
GPC4
CNBP
TRIM50
CNGB3
TTN
ODF4
IBTK
DUSP7
GPATCH2L
APOH
HDAC3
C10orf107
TMX1
GOLGA4
PRR5L
SLCO5A1
CDK17
FBXW7
PHLPP1
ZBTB25
LOC105369275
